,estado,municipio,ano_ingreso,latitud,longitud
84,Puebla,Pahuatlan,2012,20.2769343,-98.1501609
85,Puebla,Chignahuapan,2012,19.8383768,-98.0312084
86,Puebla,Cholula,2012,19.0765772,-98.3021192
87,Puebla,Tlatlauquitepec,2012,19.8463549,-97.4971981
88,Puebla,Xicotepec,2012,20.2786208,-97.964259
89,Puebla,Atlixco,2015,18.9131227,-98.4293891
90,Puebla,Huahuchinango,2015,20.1757001,-98.0628862
91,Puebla,Tetela de Ocampo,Unknown,19.8115842,-97.8096037
92,Queretaro,Bernal,2005,20.7379323,-99.9423166
93,Queretaro,Jalpan de Serra,2010,21.2190312,-99.4714352
94,Queretaro,Cadereyta de Montes,2011,20.6904037,-99.8208632
95,Queretaro,Tequisquiapan,2012,20.5187326,-99.8850586
96,Queretaro,San Joaquin,2015,20.916487,-99.5649876
97,Queretaro,Amealco de Bonfil,Unknown,20.1885969,-100.1451177
98,Quintana Roo,Bacalar,2006,18.6782919,-88.3923946
99,Quintana Roo,Isla Mujeres ,2015,21.2321799,-86.7340934
100,Quintana Roo,Tulum,2015,20.2114185,-87.4653502
101,San Luis Potosi,Real de Catorce,2001,23.6893967,-100.8855459
102,San Luis Potosi,Xilitla,2011,21.3841719,-98.9921748
103,San Luis Potosi,Santa María del Río,Unknown,21.8031036,-100.7336555
104,San Luis Potosi,Aquismón,Unknown,21.6248648,-99.0197318
105,Sinaloa,Cosala,2005,24.4136366,-106.6915369
106,Sinaloa,El Fuerte,2009,26.417632,-108.6145938
107,Sinaloa,El Rosario,2012,22.75,-105.371111
108,Sinaloa,Mocorito,2015,25.481348,-107.9205937
109,Sonora,Alamos,2005,27.0254869,-108.941309
110,Sonora,Magdalena de Kino,2012,30.6248514,-110.9714055
111,Tabasco,Tapijulapa,2010,17.4622198,-92.7779652
112,Tamaulipas,Mier,2007,26.4265448,-99.1511502
113,Tamaulipas,Tula,2011,22.9906564,-99.7204805
114,Tlaxcala,Huamantla,2007,19.3184941,-97.9233826
115,Tlaxcala,Tlaxco,2015,19.61766,-98.1174721
116,Veracruz,Coatepec,2006,19.451938,-96.9594511
117,Veracruz,Xico,2011,19.4247826,-97.0041525
118,Veracruz,Papantla,2012,20.4566709,-97.3156131
119,Veracruz,Orizaba,2015,18.8504744,-97.1036396
120,Veracruz,Zozocolco,2015,20.1400074,-97.5750164
121,Veracruz,Coscomatepec,2015,19.0683148,-97.0471556
122,Yucatan,Izamal,2002,20.9299997,-89.0227126
123,Yucatan,Valladolid,2012,20.68964,-88.2022488
124,Yucatan,Mani,Unknown,20.3930712,-89.3917555
125,Yucatan,Sisal,Unknown,21.1667573,-90.0244872
126,Zacatecas,Jerez de Garcia Salinas,2007,22.6468746,-102.9876221
127,Zacatecas,Teul de Gonzalez Ortega,2011,21.4658511,-103.4598473
128,Zacatecas,Sombrerete,2012,23.6342457,-103.6391657
129,Zacatecas,Pinos,2012,22.2972779,-101.5747236
130,Zacatecas,Nochistlan,2012,21.3634678,-102.8436668
131,Zacatecas,Guadalupe,Unknown,22.7565759,-102.511889
